date,value,classification
2023-01-01,52,Neutral
2023-01-02,51,Neutral
2023-01-03,55,Neutral
2023-01-04,62,Greed
2023-01-05,61,Greed
2023-01-06,60,Neutral
2023-01-07,68,Greed
2023-01-08,72,Greed
2023-01-09,69,Greed
2023-01-10,72,Greed
2023-01-11,70,Greed
2023-01-12,67,Greed
2023-01-13,68,Greed
2023-01-14,59,Neutral
2023-01-15,50,Neutral
2023-01-16,47,Neutral
2023-01-17,42,Neutral
2023-01-18,44,Neutral
2023-01-19,39,Fear
2023-01-20,32,Fear
2023-01-21,40,Fear
2023-01-22,39,Fear
2023-01-23,39,Fear
2023-01-24,32,Fear
2023-01-25,29,Fear
2023-01-26,30,Fear
2023-01-27,24,Fear
2023-01-28,26,Fear
2023-01-29,23,Fear
2023-01-30,21,Fear
2023-01-31,18,Extreme Fear
2023-02-01,28,Fear
2023-02-02,27,Fear
2023-02-03,22,Fear
2023-02-04,26,Fear
2023-02-05,20,Extreme Fear
2023-02-06,21,Fear
2023-02-07,11,Extreme Fear
2023-02-08,5,Extreme Fear
2023-02-09,6,Extreme Fear
2023-02-10,9,Extreme Fear
2023-02-11,10,Extreme Fear
2023-02-12,10,Extreme Fear
2023-02-13,8,Extreme Fear
2023-02-14,1,Extreme Fear
2023-02-15,0,Extreme Fear
2023-02-16,0,Extreme Fear
2023-02-17,5,Extreme Fear
2023-02-18,7,Extreme Fear
2023-02-19,0,Extreme Fear
2023-02-20,1,Extreme Fear
2023-02-21,0,Extreme Fear
2023-02-22,0,Extreme Fear
2023-02-23,3,Extreme Fear
2023-02-24,8,Extreme Fear
2023-02-25,12,Extreme Fear
2023-02-26,8,Extreme Fear
2023-02-27,7,Extreme Fear
2023-02-28,8,Extreme Fear
2023-03-01,13,Extreme Fear
2023-03-02,11,Extreme Fear
2023-03-03,10,Extreme Fear
2023-03-04,4,Extreme Fear
2023-03-05,0,Extreme Fear
2023-03-06,4,Extreme Fear
2023-03-07,10,Extreme Fear
2023-03-08,10,Extreme Fear
