account,symbol,execution_price,size,side,time,start_position,event,closedPnL,leverage,dir
0x0af6790523dd0af40c1c3a03a4c1a0df6067eba2,BTC,24573.3627,0.4595,BUY,2023-01-01 06:50:00,0.1228,OPEN,0.0,10,Long
0x4939835272851ed4624ebeef2cd55b020d083576,OP,1.4541,0.1265,SELL,2023-01-01 08:46:00,-0.057,CLOSE,-7.59,20,Short
0x6121a1650753afb98b8a066940907804424fc225,AVAX,14.322,0.0227,SELL,2023-01-01 10:12:00,0.0029,OPEN,0.0,1,Short
0x6262afa887ea89b1b66c12e70d25de9412bdf3dd,DOGE,0.0646,0.3598,SELL,2023-01-01 14:41:00,0.2708,OPEN,0.0,5,Short
0x5adebdbe4ffde843c5c0942476dafed98f4081ed,MATIC,0.8685,0.7359,SELL,2023-01-01 15:55:00,-0.3627,CLOSE,-4.68,10,Short
0xbb4e5487f3cf95039e0674754240ffcd91dcb7b6,DOGE,0.0654,0.4003,SELL,2023-01-01 23:02:00,-0.0453,CLOSE,4.3,5,Short
0xedbe03d7cf3f6121ea929dfa1841270856f03d2b,LINK,5.8112,0.3783,BUY,2023-01-02 03:17:00,-0.1337,OPEN,0.0,5,Long
0xc87fa1c370a4cdce8a3de02aecd8246696f21820,BNB,201.5666,0.3087,BUY,2023-01-02 04:16:00,-0.0812,OPEN,0.0,50,Long
0xbdd2a8dc587fa386779f90becc9694c9586d3ce5,ARB,1.0904,0.493,BUY,2023-01-02 06:54:00,-0.3784,OPEN,0.0,3,Long
0xea061b83a2dc03d04b9b22920149ea6f5465fa27,MATIC,0.8844,0.341,BUY,2023-01-02 07:13:00,0.0606,CLOSE,5.66,2,Long
0x3be2f0013aec35a8fd588a7ee15b7c917e04dd75,ETH,1670.8581,0.4393,BUY,2023-01-02 10:00:00,-0.0925,CLOSE,4.98,5,Long
0xea061b83a2dc03d04b9b22920149ea6f5465fa27,ETH,1609.2477,0.5574,SELL,2023-01-02 13:59:00,-0.0083,OPEN,0.0,10,Short
0xb5165416bd5e31205f5eebdb26cd1592ebddca2e,BTC,25860.4338,0.7739,SELL,2023-01-02 18:41:00,0.3714,OPEN,0.0,50,Short
0x1d186cb24f764ddad17b04d51d4a66b0c92ad716,OP,1.591,0.771,SELL,2023-01-02 21:27:00,0.2054,OPEN,0.0,2,Short
0x0328d5d04ef6b199bde888fc75394a7e49cbb2e3,SOL,19.1599,0.075,BUY,2023-01-03 03:57:00,0.0989,OPEN,0.0,10,Long
0xa2a2e9a7468bbcd27e0f039d47476b02aac10637,ETH,1727.9244,0.2746,BUY,2023-01-03 08:59:00,0.0773,OPEN,0.0,10,Long
0xee391c2f221fd53d6a55604791a2377121504c19,OP,1.5789,0.1739,SELL,2023-01-03 10:58:00,0.0403,CLOSE,-2.83,5,Short
0x30cf07144e7941c6c51824aa794607d5a2f34311,BTC,25264.849,0.2263,BUY,2023-01-03 11:59:00,-0.029,OPEN,0.0,1,Long
0x4939835272851ed4624ebeef2cd55b020d083576,SOL,22.1103,0.0644,SELL,2023-01-03 12:01:00,-0.0201,CLOSE,0.4,1,Short
0x987c1d0a09e6109925ce9325a327c9bc34db8d33,ETH,1501.9057,0.9873,SELL,2023-01-03 16:28:00,1.0844,OPEN,0.0,10,Short
0x0285eb8e3dcc5302124dd67b15b3a223cf2bd3b2,BTC,26506.1537,0.7079,BUY,2023-01-03 18:38:00,-0.4236,OPEN,0.0,1,Long
0x987c1d0a09e6109925ce9325a327c9bc34db8d33,LINK,6.3497,0.8987,SELL,2023-01-03 20:48:00,-0.4565,OPEN,0.0,2,Short
0x4939835272851ed4624ebeef2cd55b020d083576,MATIC,0.8917,0.053,SELL,2023-01-03 22:02:00,-0.0451,OPEN,0.0,50,Short
0x6121a1650753afb98b8a066940907804424fc225,SOL,20.9894,0.1182,SELL,2023-01-04 00:11:00,-0.0692,OPEN,0.0,1,Short
0x744cb7ef9bc0528b331a9c8cbdd555eeda37cf0e,BTC,26802.2567,0.0801,BUY,2023-01-04 02:11:00,0.0173,CLOSE,15.79,10,Long
0xd45a1cd4a5790cb05bf8c66c9c2a4154c047bb63,ETH,1706.6911,0.5004,BUY,2023-01-04 02:13:00,0.2856,CLOSE,-5.82,3,Long
0x744cb7ef9bc0528b331a9c8cbdd555eeda37cf0e,ARB,1.2052,1.4261,SELL,2023-01-04 04:28:00,-1.5825,CLOSE,4.46,2,Short
0xe921971dbc1ec5636c7872b4ccfded69e5a45abe,ARB,1.0986,0.3211,SELL,2023-01-04 08:28:00,-0.1396,OPEN,0.0,2,Short
0xc61546b61eada8292e6df67fbf85809118265b37,MATIC,0.9275,0.8314,BUY,2023-01-04 09:14:00,0.5347,OPEN,0.0,3,Long
0xa2a2e9a7468bbcd27e0f039d47476b02aac10637,LINK,6.439,0.9896,SELL,2023-01-04 09:51:00,0.1808,OPEN,0.0,50,Short
0x6121a1650753afb98b8a066940907804424fc225,ARB,1.0892,0.2634,BUY,2023-01-04 11:00:00,-0.1224,CLOSE,-77.85,50,Long
0x23be95267b9414f864c908abccf5f987e42ce22c,BNB,214.3431,0.818,SELL,2023-01-04 14:01:00,0.405,CLOSE,-3.34,3,Short
0xcfd86a92699b4e78a9d76f77c3658a5933d981e1,SOL,19.2199,0.5924,SELL,2023-01-04 14:16:00,0.1477,OPEN,0.0,50,Short
0xb4d87bd4dc83166db001549b0f7dd10ed8172a97,BNB,198.4037,0.1157,BUY,2023-01-04 19:29:00,0.0535,CLOSE,-2.87,3,Long
0xb5165416bd5e31205f5eebdb26cd1592ebddca2e,OP,1.4634,0.0997,SELL,2023-01-05 00:43:00,-0.0216,CLOSE,23.74,20,Short
0x37d65217f9a89b91d3d82602fe21b9178f03dce8,BNB,208.814,0.2079,BUY,2023-01-05 01:36:00,-0.0434,CLOSE,-1.34,20,Long
0xc61546b61eada8292e6df67fbf85809118265b37,AVAX,13.7601,0.9995,SELL,2023-01-05 07:05:00,-0.1856,OPEN,0.0,20,Short
0xb5165416bd5e31205f5eebdb26cd1592ebddca2e,BNB,202.3191,0.1912,BUY,2023-01-05 07:47:00,-0.0978,CLOSE,7.29,5,Long
0x0285eb8e3dcc5302124dd67b15b3a223cf2bd3b2,DOGE,0.0704,0.6622,SELL,2023-01-05 10:44:00,0.168,OPEN,0.0,1,Short
0xeea684c1f340e7d01d339e94e345a318e63f4345,SOL,19.2039,0.7832,BUY,2023-01-05 10:54:00,-0.0618,OPEN,0.0,50,Long
0xb5165416bd5e31205f5eebdb26cd1592ebddca2e,OP,1.477,0.2815,SELL,2023-01-05 12:59:00,-0.0185,OPEN,0.0,5,Short
0x0285eb8e3dcc5302124dd67b15b3a223cf2bd3b2,SOL,20.8307,0.289,SELL,2023-01-05 15:51:00,-0.147,OPEN,0.0,20,Short
0xc599099a389d38c5d9c8b5481edbeba0598102b1,OP,1.4567,0.1679,BUY,2023-01-05 17:50:00,0.0286,CLOSE,7.94,5,Long
0xe921971dbc1ec5636c7872b4ccfded69e5a45abe,SOL,21.3693,0.0423,BUY,2023-01-05 17:54:00,-0.0241,OPEN,0.0,5,Long
0xc4dea9884019946f0c0617e568292cdd487b5de4,OP,1.3905,0.1892,SELL,2023-01-05 18:42:00,0.1127,OPEN,0.0,50,Short
0x4ccba13ed55148644802487bce53eb55921ba0fe,DOGE,0.0691,0.3549,SELL,2023-01-05 22:59:00,-0.0484,CLOSE,17.09,10,Short
0xe921971dbc1ec5636c7872b4ccfded69e5a45abe,LINK,5.7545,0.3109,BUY,2023-01-06 00:33:00,-0.0404,CLOSE,-8.72,3,Long
0x4379bda828db78e0c9e1b8c145905c0b109af197,BNB,208.2523,0.2006,SELL,2023-01-06 01:18:00,-0.0628,OPEN,0.0,20,Short
0x26e94b906f96d22acf1132f3c95ef725e7f49365,AVAX,15.2073,0.9237,BUY,2023-01-06 03:24:00,-0.7173,OPEN,0.0,3,Long
0x9c453737aa43460414e9164eba11d3f5579cf2f1,BNB,224.7042,0.3805,BUY,2023-01-06 05:42:00,0.1054,OPEN,0.0,3,Long
0x0af6790523dd0af40c1c3a03a4c1a0df6067eba2,MATIC,0.8588,0.7733,BUY,2023-01-06 09:35:00,-0.2669,OPEN,0.0,10,Long
0x1df10b04fc8b7bb56232fbf467593f3d4db7f636,MATIC,0.8673,0.0299,BUY,2023-01-06 09:46:00,0.0156,OPEN,0.0,50,Long
0x23be95267b9414f864c908abccf5f987e42ce22c,ARB,1.2584,0.2381,SELL,2023-01-06 13:52:00,-0.1181,CLOSE,-20.15,20,Short
0x6262afa887ea89b1b66c12e70d25de9412bdf3dd,OP,1.5888,0.0475,SELL,2023-01-06 17:05:00,0.0073,CLOSE,0.78,1,Short
0xee391c2f221fd53d6a55604791a2377121504c19,LINK,5.9272,0.0206,SELL,2023-01-06 17:50:00,-0.0039,CLOSE,-10.56,50,Short
0xf547770f567ab48950b47158a6efc236cb73d8c1,DOGE,0.0715,0.3253,BUY,2023-01-06 19:58:00,0.1183,CLOSE,-8.04,2,Long
0x14fb2d0de7f331f4ab61b71a9d5c4c8e4ef8c0e5,ETH,1704.9766,0.9943,BUY,2023-01-06 20:19:00,-0.1059,CLOSE,-20.88,10,Long
0x30cf07144e7941c6c51824aa794607d5a2f34311,BTC,24943.6949,0.8363,BUY,2023-01-06 21:45:00,-0.2085,OPEN,0.0,10,Long
0xaa624205b23ee2d620474b557ab013e55b55c926,LINK,5.5814,0.1142,BUY,2023-01-07 00:38:00,0.026,CLOSE,-0.65,20,Long
